userName,score,at,content
TEGAR KBM DONG,1,2024-05-10 14:50:54,Pelajar yg mencari jawaban pertanyaan di persulit gimana cara pelajar buat tau jawaban nya benar apa salah tolong Lah pendidikan itu penting jgn di persulit bagi pelajar untuk mencari ilmu
Kar Sini,1,2024-05-10 10:06:20,Masa aku di telfon terus di suruh bayar 25jt gak manuk akal kan?
Arrafi Lucky,1,2024-05-10 07:26:52,Drill soalnya lemot
Marfen Setiabudi,1,2024-05-10 03:39:13,materi belajar terlalu bertele-tele
Ela Nurlaela,5,2024-05-10 00:18:02,Mantap
Feby Esteria,1,2024-05-09 09:24:07,Ditelepon oleh nomor tak dikenal dari ruangguru
Nichole E,5,2024-05-09 06:42:15,Sangat bermanfaat
Agus Natasya,5,2024-05-09 05:07:46,Agusnatasya
Ira Yuanita Sari,5,2024-05-09 04:42:05,"Assli!!!! Ini apl buat blajarr yg bgsss bangetttt ihhh,,, downloadd sekarng dehhhh 👉👉👉👉 @ruangguru 👈👈👈👈"
Marissa Anggia Mointi,5,2024-05-09 02:55:53,bagus banget materinya lengkap terus seru cara belajarnya pokonya membantu banget
Arsyad Fawwaz,5,2024-05-09 01:53:49,bagus
Sasya Monika,5,2024-05-08 22:48:38,👍👍👍👍👍
Ahmad Fuzari,5,2024-05-08 16:30:56,Mantap banget aplikasinya gue dari rangking 17 dari 25 siswa sekarang menjadi 3 teratas
Raffasya Abiansyah,5,2024-05-08 12:14:43,"Notifikasi barunya bikin kaget terus, notifikasi nya kyk yang lama aja kalau bisa yg bunyinya ""Ruang guru"""
Al Bendung,5,2024-05-08 04:43:07,Karena aplikasi ini membantu saya dalam bhs inggris
Respati Khanza,5,2024-05-08 04:18:36,"Waah aplikasi iniii sangat bagus!!! Dan penjelasannya juga Pahan dari vidionya. Cuman, dari vidionya itu harus bayar ada yang nggak. Kebanyakan yang vidio itu harus bayar. Tapi, dari aplikasinya ini paling bagus Bahkan ada guru les dari ruang guru."
Gan Di,5,2024-05-07 21:01:24,Kurang informatika
EGAN EMPIRE,4,2024-05-07 14:49:40,Bagaaaaaasss bgt dah app ini! LENGKAP BGT LHO! Tapi tolong banyakin sub bab gratisnya donk! Lagi OSN-K IPA nih!
Mahdalena,3,2024-05-07 12:19:35,Sebenarnya bagussih tapi setiap mau kuis harus beli paket jadi gak semangat
Ishlahur Rahmi,5,2024-05-07 12:17:26,"Desainnya bagus, interaktif, kreatif, mudah2an bermanfaat terus buat anak2.."
Abel Muhammad,4,2024-05-07 02:20:04,Baru download 😊🙏
Dens ft (EXP),5,2024-05-06 20:05:06,Saya belajar di aplikasi ruang guru 1 tahun dan aku sekarang pintar dari semua hal
Manik Jr,5,2024-05-06 15:19:29,Karena bisa membuat pr saya nilai 100 kerennbnn
Midha Ridwan,5,2024-05-06 13:29:00,saya pakai aku emak saya saya tuh pas dolnod ruangguru bingungcara pake nya gmn habis itu saya udah ngerti gimana cara pakenya ternyata ruang guru itu menyenangkan danbisa menambah ilmu saya aja masih sd kls 2 saya sangat suka belajar sama ruang guru klau ada pr yang susah saya bisa buka ruang guru pokoknya mantap!saya bisa belajar dan bermain setelah dolnod ruang guru saya jadi bisa bikin pr yang susah menjadi gampang
Mang Dewo,5,2024-05-06 10:04:23,Aplikasinya menyenangkan banget 🤗
Erwhin Lacm,5,2024-05-06 05:23:35,patran
Muhammad Raditrafif,5,2024-05-06 03:48:47,Bagus sekali untuk anak2 bisa tambah2 Pelajaran 🙏🙏
Andri R,5,2024-05-06 02:43:01,"Bagus, rekomendasi buat anak2, pengganti bimbel"
kucing,5,2024-05-06 01:08:24,Sangat bagus
VII._Putri Tasya Nabila_24,5,2024-05-05 15:54:33,mantap
martinus ginting,5,2024-05-05 14:20:51,Anak saya jadi rajin belajar karena seru
Kevin Admiraldi,5,2024-05-05 11:27:55,Bagus
Sri Palupi,5,2024-05-05 09:11:19,Top
Candika Sensei,5,2024-05-05 06:40:32,"Saya sangat suka sekali dengan aplikasi ini sangat membantu untuk mengerjakan tugas dan memahami dari video dari aplikasi ini, hebatt pertama kali cobaa langsung bestt apk luvv"""
Yasmin nuraisyah balqis,5,2024-05-05 04:31:55,Bagus aplikasinya Saya sangat suka sama fitur nya
Mlw Vivo,5,2024-05-05 04:13:43,Bagus
Reza Maulana,1,2024-05-04 12:46:27,"Daftar sekali,no kita di wa sama sales berkali kali"
Aku Kalibaru,5,2024-05-04 09:46:25,Aplikasi ruang Guru sangat bagus sekali
Zahra Davina,5,2024-05-04 06:33:35,sangat bagus sekali
Esmier Ralda,5,2024-05-04 03:40:50,Bagus dan tepay
Adi Suryadi,5,2024-05-03 11:28:20,Sangat membantu
Putri Raja Channel,5,2024-05-03 07:31:55,App ny berguna bgtt ap lg buat nanya soal yg bingung
Reza,1,2024-05-03 07:11:15,"Suka memaksa, seperti maksa untuk chat narahubung, maksa rating. Design nya terlalu rame pusing, kebanyakan fitur yang ga berguna, kalau to di web jadi ga jelas soal sama opsi jawaban dipisah kanan dan kiri ini ga sesuai sama layout utbk, bikin pusing"
Olivia Asih,1,2024-05-03 04:18:03,Ribet
PanggiLsja Endy,5,2024-05-02 12:22:26,Aplikasih ini bagus dan bisah membantu siswa utk belajar
Pipih kuraesin,5,2024-05-02 05:29:40,Wih bagus banget
Winnie Natasha,5,2024-05-02 02:04:24,Out bintang
AZQIA SALSABILA HAIS,1,2024-05-01 17:23:24,"Mau masuk akun, malah hanya ada daftar akun"
Untuk Contohdaftar,2,2024-05-01 13:27:07,Bank soalnya kurang lengkap
Sofyzzz,1,2024-05-01 11:10:16,"sampah, niat mau cari informasi di website ruangguru, setiap scroll muncul iklan mulu, menjengkelkan 👎👎👎"
Defin Anbiya,5,2024-05-01 08:03:25,"bagus banget dan bener² bisa gampang paham sama materi pelajaran, banyak soal latihan jugaa, luvv banget sama ruangguru!!"
Nuraini,1,2024-05-01 06:05:24,Saya sudah cari tapi jawaban ya gk ada sumpah jangan download deh auto menyesal
Ulya Ulya,5,2024-04-30 22:24:22,Ruang guru ini sangat bagus
Siti Mrongos,5,2024-04-30 10:04:58,Sekolah
Fitrah Aja,5,2024-04-30 09:49:06,Kk segera dirikan bimbel ruang guru di daerah sungai penuh jambi
Yurnisi ndruru Yurnis,5,2024-04-30 05:52:19,Ini adalah GARAM
Senzhiro Vincenthyo,5,2024-04-29 15:29:27,Apk ini sangat berguna untuk belajar
septi rindaa,5,2024-04-29 14:51:31,Sangat membantu dan I LOVEE THIS APPS!!!!
